time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-31 00:00:00+00:00,0,0,1,1
2023-02-01 00:00:00+00:00,4,2,0,0
2023-02-02 00:00:00+00:00,67,7,26,1
2023-02-04 00:00:00+00:00,3,2,15,2
2023-02-06 00:00:00+00:00,1,1,0,0
2023-02-09 00:00:00+00:00,0,0,13,2
2023-02-10 00:00:00+00:00,0,0,3,1
2023-02-12 00:00:00+00:00,1,1,0,0
2023-02-15 00:00:00+00:00,1,1,0,0
2023-02-16 00:00:00+00:00,0,0,3,1
2023-02-19 00:00:00+00:00,0,0,4,1
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-04 00:00:00+00:00,1,1,0,0
2023-03-10 00:00:00+00:00,0,0,1,1
2023-03-13 00:00:00+00:00,0,0,1,1
2023-03-16 00:00:00+00:00,0,0,5,1
2023-03-17 00:00:00+00:00,1,1,0,0
2023-03-20 00:00:00+00:00,1,1,9,1
2023-03-21 00:00:00+00:00,0,0,1,1
2023-03-27 00:00:00+00:00,0,0,4,2
2023-03-28 00:00:00+00:00,0,0,8,1
2023-03-29 00:00:00+00:00,1,1,2,1
2023-03-30 00:00:00+00:00,0,0,3,1
2023-04-02 00:00:00+00:00,0,0,1,1
2023-04-15 00:00:00+00:00,2,2,0,0
2023-04-18 00:00:00+00:00,1,1,8,1
2023-04-27 00:00:00+00:00,1,1,18,4
2023-05-04 00:00:00+00:00,0,0,2,1
2023-05-05 00:00:00+00:00,0,0,9,3
2023-05-07 00:00:00+00:00,0,0,11,3
2023-05-11 00:00:00+00:00,0,0,3,1
2023-05-12 00:00:00+00:00,0,0,4,1
2023-05-18 00:00:00+00:00,0,0,2,1
2023-05-23 00:00:00+00:00,2,1,1,1
2023-05-24 00:00:00+00:00,0,0,4,2
2023-05-25 00:00:00+00:00,0,0,22,2
2023-05-29 00:00:00+00:00,1,1,1,1
2023-05-30 00:00:00+00:00,0,0,2,2
2023-06-03 00:00:00+00:00,0,0,13,2
2023-06-06 00:00:00+00:00,0,0,18,2
2023-06-08 00:00:00+00:00,0,0,1,1
2023-06-09 00:00:00+00:00,0,0,10,2
2023-06-12 00:00:00+00:00,0,0,3,1
2023-06-19 00:00:00+00:00,0,0,1,1
2023-06-22 00:00:00+00:00,2,1,1,1
2023-06-26 00:00:00+00:00,1,1,0,0
2023-06-28 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,1,1,2,2
2023-07-03 00:00:00+00:00,0,0,4,1
2023-07-04 00:00:00+00:00,1,1,2,2
2023-07-05 00:00:00+00:00,4,2,7,1
2023-07-06 00:00:00+00:00,0,0,6,3
2023-07-09 00:00:00+00:00,1,1,1,1
2023-07-10 00:00:00+00:00,1,1,7,1
2023-07-11 00:00:00+00:00,0,0,1,1
2023-07-12 00:00:00+00:00,0,0,5,2
2023-07-13 00:00:00+00:00,0,0,2,1
2023-07-14 00:00:00+00:00,0,0,5,1
2023-07-15 00:00:00+00:00,1,1,1,1
2023-07-17 00:00:00+00:00,0,0,36,4
2023-07-18 00:00:00+00:00,0,0,7,1
2023-07-19 00:00:00+00:00,1,1,3,1
2023-07-24 00:00:00+00:00,0,0,1,1
2023-07-25 00:00:00+00:00,0,0,2,1
2023-07-26 00:00:00+00:00,0,0,1,1
2023-07-27 00:00:00+00:00,3,2,15,3
2023-07-28 00:00:00+00:00,2,1,1,1
2023-07-29 00:00:00+00:00,0,0,1,1
2023-07-30 00:00:00+00:00,0,0,1,1
2023-07-31 00:00:00+00:00,2,2,0,0
2023-08-01 00:00:00+00:00,0,0,2,1
2023-08-06 00:00:00+00:00,3,2,0,0
2023-08-08 00:00:00+00:00,1,1,0,0
2023-08-09 00:00:00+00:00,2,2,0,0
2023-08-16 00:00:00+00:00,0,0,5,1
2023-08-22 00:00:00+00:00,3,1,0,0
2023-08-29 00:00:00+00:00,2,1,0,0
2023-09-07 00:00:00+00:00,0,0,4,2
2023-09-09 00:00:00+00:00,1,1,1,1
2023-09-10 00:00:00+00:00,3,2,6,1
2023-09-11 00:00:00+00:00,0,0,3,1
2023-09-14 00:00:00+00:00,18,1,8,1
2023-09-18 00:00:00+00:00,0,0,10,3
2023-09-19 00:00:00+00:00,2,2,3,1
2023-09-21 00:00:00+00:00,0,0,16,2
2023-09-22 00:00:00+00:00,0,0,18,2
2023-09-26 00:00:00+00:00,1,1,0,0
2023-09-28 00:00:00+00:00,0,0,14,1
2023-10-10 00:00:00+00:00,2,1,0,0
2023-10-13 00:00:00+00:00,0,0,19,4
2023-10-15 00:00:00+00:00,0,0,23,1
2023-10-26 00:00:00+00:00,0,0,21,1
2023-10-31 00:00:00+00:00,0,0,49,2
2023-11-01 00:00:00+00:00,0,0,13,4
2023-11-04 00:00:00+00:00,1,1,0,0
2023-11-07 00:00:00+00:00,0,0,2,2
2023-11-08 00:00:00+00:00,0,0,1,1
2023-11-10 00:00:00+00:00,0,0,1,1
2023-11-20 00:00:00+00:00,0,0,16,1
2023-11-21 00:00:00+00:00,0,0,2,1
2023-11-22 00:00:00+00:00,1,1,0,0
2023-11-23 00:00:00+00:00,1,1,17,1
2023-11-24 00:00:00+00:00,1,1,0,0
2023-12-01 00:00:00+00:00,0,0,6,1
2023-12-04 00:00:00+00:00,0,0,22,2
2023-12-08 00:00:00+00:00,0,0,1,1
2023-12-10 00:00:00+00:00,1,1,0,0
2023-12-14 00:00:00+00:00,0,0,3,2
2023-12-18 00:00:00+00:00,0,0,13,2
2023-12-19 00:00:00+00:00,1,1,0,0
2023-12-21 00:00:00+00:00,0,0,20,1
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-07 00:00:00+00:00,0,0,6,1
2024-01-10 00:00:00+00:00,0,0,21,2
2024-01-12 00:00:00+00:00,0,0,1,1
2024-01-14 00:00:00+00:00,0,0,1,1
2024-01-15 00:00:00+00:00,1,1,0,0
2024-01-17 00:00:00+00:00,0,0,35,2
2024-01-22 00:00:00+00:00,0,0,1,1
2024-01-23 00:00:00+00:00,1,1,0,0
2024-01-25 00:00:00+00:00,0,0,4,1
2024-01-31 00:00:00+00:00,1,1,0,0
2024-02-01 00:00:00+00:00,1,1,3,1
2024-02-05 00:00:00+00:00,1,1,16,1
2024-02-07 00:00:00+00:00,1,1,0,0
2024-02-16 00:00:00+00:00,0,0,1,1
2024-02-19 00:00:00+00:00,0,0,33,1
2024-03-02 00:00:00+00:00,1,1,3,2
2024-03-03 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,0,0,2,1
2024-03-05 00:00:00+00:00,1,1,2,1
2024-03-06 00:00:00+00:00,0,0,2,1
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-14 00:00:00+00:00,0,0,2,1
2024-03-28 00:00:00+00:00,1,1,3,1
2024-03-29 00:00:00+00:00,1,1,1,1
2024-03-31 00:00:00+00:00,0,0,1,1
2024-04-07 00:00:00+00:00,0,0,1,1
2024-04-10 00:00:00+00:00,0,0,11,1
2024-04-12 00:00:00+00:00,1,1,0,0
2024-04-13 00:00:00+00:00,0,0,1,1
2024-04-14 00:00:00+00:00,0,0,8,2
2024-04-19 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-26 00:00:00+00:00,1,1,0,0
2024-04-30 00:00:00+00:00,0,0,1,1
2024-05-02 00:00:00+00:00,12,1,0,0
2024-05-08 00:00:00+00:00,0,0,22,1
2024-05-13 00:00:00+00:00,1,1,1,1
2024-05-15 00:00:00+00:00,3,1,3,1
2024-05-16 00:00:00+00:00,0,0,1,1
2024-05-23 00:00:00+00:00,0,0,7,1
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-26 00:00:00+00:00,0,0,12,1
2024-05-27 00:00:00+00:00,0,0,14,1
2024-06-05 00:00:00+00:00,0,0,1,1
2024-06-11 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-17 00:00:00+00:00,0,0,1,1
2024-08-14 00:00:00+00:00,0,0,3,1
2024-08-19 00:00:00+00:00,2,2,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-15 00:00:00+00:00,0,0,2,1
